JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458820.3389,3.950,0.015,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.21,Z,4.25,3.174,,ZET AUR,AAVSO,STD,,,,
2458820.3408,5.330,0.012,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.20,Z,5.42,3.509,,ZET AUR,AAVSO,STD,,,,
2458820.3408,3.967,0.005,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.20,Z,4.25,3.172,,ZET AUR,AAVSO,STD,,,,
2458820.4229,5.315,0.008,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.03,Z,5.42,3.520,,ZET AUR,AAVSO,STD,,,,
2458820.4229,3.964,0.013,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.03,Z,4.25,3.225,,ZET AUR,AAVSO,STD,,,,
2458820.54467,5.416,0.036,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458820.54812,3.840,0.013,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458820.55172,3.082,0.018,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458820.55502,2.268,0.009,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458820.60703,5.435,0.011,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458820.61089,3.858,0.007,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458820.61479,3.079,0.019,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458820.61872,2.278,0.019,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458821.300,3.6,,,Vis.,NJO,,NA,,NA,,,,Z,,,,ZET AUR,BAV,STD,,,,
2458821.3209,5.093,0.009,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.27,Z,5.42,3.510,,ZET AUR,AAVSO,STD,,,,
2458821.3209,3.863,0.006,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.27,Z,4.25,3.191,,ZET AUR,AAVSO,STD,,,,
2458821.3298,5.074,0.007,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.23,Z,5.42,3.491,,ZET AUR,AAVSO,STD,,,,
2458821.3298,3.852,0.008,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.23,Z,4.25,3.172,,ZET AUR,AAVSO,STD,,,,
2458821.67444,5.025,0.014,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458821.67805,3.751,0.009,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458821.68172,3.026,0.013,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458821.68519,2.267,0.009,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458821.6976,4.882,0.013,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.87,Z,5.42,3.372,,ZET AUR,AAVSO,STD,,,,
2458821.6976,3.638,0.013,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.87,Z,4.25,2.983,,ZET AUR,AAVSO,STD,,,,
2458821.6996,4.869,0.013,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.90,Z,5.42,3.370,,ZET AUR,AAVSO,STD,,,,
2458821.6996,3.671,0.014,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.90,Z,4.25,3.031,,ZET AUR,AAVSO,STD,,,,
2458821.82331,4.994,0.007,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458821.82801,3.742,0.007,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458821.83115,3.036,0.010,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458821.83491,2.267,0.009,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458822.463961,4.971,0.006,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458822.4693345,zet Aur,BAV,STD,1,,,
2458822.463961,3.707,0.012,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458822.4693345,zet Aur,BAV,STD,1,,,
2458822.463961,2.678,0.029,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458822.4693345,zet Aur,BAV,STD,1,,,
