teff	logg	MH	alpha	vmic
4400	4.5	-1	0.4	0.85
4400	4.5	-1.5	0.4	0.84
4400	4.5	-2	0.4	0.83
4400	5	1	0	0.88
4400	5	0.5	0	0.84
4400	5	0	0	0.82
4400	5	-0.5	0	0.79
4400	5	-1	0.4	0.78
4400	5	-1.5	0.4	0.76
4400	5	-2	0.4	0.76
4500	1	1	0	1.59
4500	1	0.5	0	1.56
4500	1	0	0	1.53
4500	1	-0.5	0	1.51
4500	1	-1	0.4	1.49
4500	1	-1.5	0.4	1.48
4500	1	-2	0.4	1.47
4500	1.5	1	0	1.54
4500	1.5	0.5	0	1.51
4500	1.5	0	0	1.48
4500	1.5	-0.5	0	1.46
4500	1.5	-1	0.4	1.44
4500	1.5	-1.5	0.4	1.43
4500	1.5	-2	0.4	1.42
4500	2	1	0	1.48
4500	2	0.5	0	1.45
4500	2	0	0	1.42
4500	2	-0.5	0	1.4
4500	2	-1	0.4	1.38
4500	2	-1.5	0.4	1.37
4500	2	-2	0.4	1.36
4500	2.5	1	0	1.42
4500	2.5	0.5	0	1.39
4500	2.5	0	0	1.36
4500	2.5	-0.5	0	1.34
4500	2.5	-1	0.4	1.32
4500	2.5	-1.5	0.4	1.31
4500	2.5	-2	0.4	1.3
4500	3	1	0	1.35
4500	3	0.5	0	1.32
4500	3	0	0	1.29
4500	3	-0.5	0	1.27
4500	3	-1	0.4	1.25
4500	3	-1.5	0.4	1.24
4500	3	-2	0.4	1.23
4500	3.5	1	0	1.09
4500	3.5	0.5	0	1.06
4500	3.5	0	0	1.03
4500	3.5	-0.5	0	1.01
4500	3.5	-1	0.4	0.99
4500	3.5	-1.5	0.4	0.98
4500	3.5	-2	0.4	0.97
4500	4	1	0	1.02
4500	4	0.5	0	0.99
4500	4	0	0	0.96
4500	4	-0.5	0	0.94
4500	4	-1	0.4	0.92
4500	4	-1.5	0.4	0.91
4500	4	-2	0.4	0.9
4500	4.5	1	0	0.95
4500	4.5	0.5	0	0.92
4500	4.5	0	0	0.89
4500	4.5	-0.5	0	0.87
4500	4.5	-1	0.4	0.85
4500	4.5	-1.5	0.4	0.84
4500	4.5	-2	0.4	0.83
4500	5	1	0	0.88
4500	5	0.5	0	0.84
4500	5	0	0	0.82
4500	5	-0.5	0	0.79
4500	5	-1	0.4	0.78
4500	5	-1.5	0.4	0.76
4500	5	-2	0.4	0.76
4600	1	1	0	1.58
4600	1	0.5	0	1.54
4600	1	0	0	1.52
4600	1	-0.5	0	1.49
4600	1	-1	0.4	1.48
4600	1	-1.5	0.4	1.46
4600	1	-2	0.4	1.46
4600	1.5	1	0	1.52
4600	1.5	0.5	0	1.49
4600	1.5	0	0	1.46
4600	1.5	-0.5	0	1.44
4600	1.5	-1	0.4	1.42
4600	1.5	-1.5	0.4	1.41
4600	1.5	-2	0.4	1.4
4600	2	1	0	1.46
4600	2	0.5	0	1.43
4600	2	0	0	1.4
4600	2	-0.5	0	1.38
4600	2	-1	0.4	1.36
4600	2	-1.5	0.4	1.35
4600	2	-2	0.4	1.34
4600	2.5	1	0	1.4
4600	2.5	0.5	0	1.37
4600	2.5	0	0	1.34
4600	2.5	-0.5	0	1.32
4600	2.5	-1	0.4	1.3
4600	2.5	-1.5	0.4	1.29
4600	2.5	-2	0.4	1.28
4600	3	1	0	1.34
4600	3	0.5	0	1.3
4600	3	0	0	1.28
